state,abv,total2015,num2015,percent2015,total2005,num2005,percent2005,total1995,num1995,percent1995
Alabama,AL,4820,784,16.3,4501,750,16.7,4396,882,20.1
Alaska,AK,703,65,9.2,657,66,10.0,630,45,7.1
Arizona,AZ,6728,1156,17.2,6025,917,15.2,4337,700,16.1
Arkansas,AR,2951,475,16.1,2756,382,13.8,2532,376,14.9
California,CA,39081,5441,13.9,35840,4716,13.2,32055,5342,16.7
Colorado,CO,5420,538,9.9,4629,530,11.4,3793,335,8.8
Connecticut,CT,3572,324,9.1,3483,326,9.3,3276,318,9.7
Delaware,DE,958,106,11.1,842,78,9.2,713,74,10.3
District of Columbia,DC,676,113,16.6,539,115,21.3,551,122,22.2
Florida,FL,20071,3253,16.2,17845,1975,11.1,14306,2321,16.2
Georgia,GA,10100,1833,18.1,9014,1298,14.4,7262,878,12.1
Hawaii,HI,1382,151,10.9,1274,110,8.6,1187,122,10.3
Idaho,ID,1657,204,12.3,1441,143,9.9,1154,167,14.5
Illinois,IL,12683,1380,10.9,12571,1441,11.5,11761,1459,12.4
Indiana,IN,6502,880,13.5,6131,774,12.6,5673,545,9.6
Iowa,IA,3100,321,10.4,2902,327,11.3,2894,352,12.2
Kansas,KS,2849,404,14.2,2693,337,12.5,2535,273,10.8
Kentucky,KY,4365,851,19.5,4049,599,14.8,3876,572,14.7
Louisiana,LA,4599,854,18.6,4086,748,18.3,4306,849,19.7
Maine,ME,1340,165,12.3,1314,166,12.6,1225,138,11.2
Maryland,MD,5892,566,9.6,5560,542,9.7,5133,520,10.1
Massachusetts,MA,6777,782,11.5,6318,641,10.1,6065,665,11.0
Michigan,MI,9852,1259,12.8,9964,1196,12.0,9637,1174,12.2
Minnesota,MN,5458,428,7.8,5113,412,8.1,4628,427,9.2
Mississippi,MS,2947,563,19.1,2843,571,20.1,2685,630,23.5
Missouri,MO,5946,582,9.8,5697,659,11.6,5140,484,9.4
Montana,MT,1018,121,11.9,926,128,13.8,870,133,15.3
Nebraska,NE,1858,192,10.3,1760,167,9.5,1648,159,9.6
Nevada,NV,2864,371,13.0,2447,260,10.6,1558,173,11.1
New Hampshire,NH,1293,94,7.3,1298,73,5.6,1139,60,5.3
New Jersey,NJ,8936,1004,11.2,8692,592,6.8,7879,617,7.8
New Mexico,NM,2036,400,19.7,1938,347,17.9,1806,457,25.3
New York,NY,19645,2791,14.2,18995,2760,14.5,18258,3020,16.5
North Carolina,NC,9887,1509,15.3,8538,1115,13.1,6935,877,12.6
North Dakota,ND,763,82,10.7,625,70,11.2,635,76,12.0
Ohio,OH,11435,1550,13.6,11310,1392,12.3,11211,1285,11.5
Oklahoma,OK,3887,551,14.2,3486,543,15.6,3204,548,17.1
Oregon,OR,4029,478,11.9,3619,436,12.0,3208,360,11.2
Pennsylvania,PA,12564,1542,12.3,12237,1372,11.2,12031,1464,12.2
Rhode Island,RI,1044,123,11.8,1052,127,12.1,962,102,10.6
South Carolina,SC,4790,683,14.3,4164,626,15.0,3741,744,19.9
South Dakota,SD,848,118,13.9,765,90,11.8,713,103,14.5
Tennessee,TN,6605,973,14.7,5853,872,14.9,5462,846,15.5
Texas,TX,27396,4036,14.7,22777,3681,16.2,18761,3270,17.4
Utah,UT,3004,279,9.3,2521,232,9.2,1999,168,8.4
Vermont,VT,609,65,10.7,621,47,7.6,593,61,10.3
Virginia,VA,8216,894,10.9,7442,684,9.2,6371,648,10.2
Washington,WA,7193,819,11.4,6237,636,10.2,5424,677,12.5
West Virginia,WV,1795,261,14.5,1795,276,15.4,1793,300,16.7
Wisconsin,WI,5736,654,11.4,5440,553,10.2,5300,449,8.5
Wyoming,WY,574,56,9.8,509,54,10.6,482,59,12.2
